volume_id,comparator,label,family,delta_top_risk_auprc,mae_reduction,delta_spearman
file_brain_AXT2_207_2070054,reliability_full,Full CNN,full_cnn,-0.011788046503179439,0.005012966799835192,0.02111423215153041
file_brain_AXT2_207_2070194,reliability_full,Full CNN,full_cnn,-0.0008637872916430478,0.0016019452176782994,0.02167071402067322
file_brain_AXT2_207_2070208,reliability_full,Full CNN,full_cnn,0.006641560391694168,0.003497853401939005,0.01774149949601045
file_brain_AXT2_207_2070280,reliability_full,Full CNN,full_cnn,-0.010636219368356792,-0.0014419404926910018,0.008495335631287793
file_brain_AXT2_207_2070352,reliability_full,Full CNN,full_cnn,0.004011923645198423,0.003950193353064596,0.0073942981792249896
file_brain_AXT2_207_2070417,reliability_full,Full CNN,full_cnn,-0.01573934631885876,0.004421755093354601,0.010166642963204464
file_brain_AXT2_207_2070770,reliability_full,Full CNN,full_cnn,-0.005120824609822772,0.002524052951181993,0.024696336882462977
file_brain_AXT2_207_2070777,reliability_full,Full CNN,full_cnn,-0.01170837157493021,0.0017694701323743012,0.0049273662984969935
file_brain_AXT2_207_2070822,reliability_full,Full CNN,full_cnn,-0.027548663561465125,0.003553953207360294,0.006986457221933584
file_brain_AXT2_208_2080013,reliability_full,Full CNN,full_cnn,0.017351202645984,0.004676369169443098,0.013251123557326827
file_brain_AXT2_208_2080126,reliability_full,Full CNN,full_cnn,0.007434060033590817,0.002365816160113901,0.0055459286445838085
file_brain_AXT2_208_2080585,reliability_full,Full CNN,full_cnn,0.002687576046660589,0.0035016232807362074,0.02552550271782561
file_brain_AXT2_208_2080611,reliability_full,Full CNN,full_cnn,0.0008768806781581651,0.0015837176522848079,0.0193054702008717
file_brain_AXT2_209_6001384,reliability_full,Full CNN,full_cnn,0.005379424112291975,0.003412756560319599,-2.42298453467793e-06
file_brain_AXT2_209_6001459,reliability_full,Full CNN,full_cnn,0.010571992890324733,-0.0018979364251223013,0.0037044327796895704
file_brain_AXT2_210_2100135,reliability_full,Full CNN,full_cnn,0.003935626825876226,0.0004985084843137921,0.037637194411618946
file_brain_AXT2_210_2100276,reliability_full,Full CNN,full_cnn,-0.015493826908700492,0.004602789347466191,0.03292083080737762
file_brain_AXT2_210_2100288,reliability_full,Full CNN,full_cnn,-0.0006017579097276071,0.00694476071606541,0.010770998748196203
file_brain_AXT2_210_2100306,reliability_full,Full CNN,full_cnn,0.014683544012031535,0.006145066739928387,0.021459300906580214
file_brain_AXT2_210_2100368,reliability_full,Full CNN,full_cnn,0.011310416724416128,0.00543505611380031,0.015571113832440808
file_brain_AXT2_210_6001524,reliability_full,Full CNN,full_cnn,0.010014805247180347,0.008396494598418194,0.021363784827667764
file_brain_AXT2_210_6001651,reliability_full,Full CNN,full_cnn,0.01813772767414157,0.0068197480323334,0.026867945106044067
file_brain_AXT2_210_6001906,reliability_full,Full CNN,full_cnn,0.01952135763338858,0.00903505635097629,0.01341252313824437
file_brain_AXT2_210_6001941,reliability_full,Full CNN,full_cnn,0.00041613371760107487,0.004336252809831895,0.01156390415896591
file_brain_AXT2_200_2000080,direct_lambda_risk,"Direct
risk-target",direct,0.05281360868546969,0.017889605327208895,-0.009546496404848837
file_brain_AXT2_200_2000175,direct_lambda_risk,"Direct
risk-target",direct,0.029701198462324996,0.017840946045121597,-0.004873098200241177
file_brain_AXT2_200_2000360,direct_lambda_risk,"Direct
risk-target",direct,0.0622479210973611,0.004600250000084405,-0.01898642676553719
file_brain_AXT2_200_2000362,direct_lambda_risk,"Direct
risk-target",direct,0.011263641744924668,-0.010209435152280608,-0.012809251556580414
file_brain_AXT2_200_6001972,direct_lambda_risk,"Direct
risk-target",direct,-0.10446497727711201,-0.02660299659197729,-0.02248543085653676
file_brain_AXT2_200_6002111,direct_lambda_risk,"Direct
risk-target",direct,-0.06071017690348335,-0.0218375664076612,-0.00909704782042342
file_brain_AXT2_200_6002151,direct_lambda_risk,"Direct
risk-target",direct,0.03604909606285078,0.003822370399209199,-0.002559111934813507
file_brain_AXT2_200_6002242,direct_lambda_risk,"Direct
risk-target",direct,0.04236372241945663,0.01770189482975701,-0.023002194155419375
file_brain_AXT2_200_6002524,direct_lambda_risk,"Direct
risk-target",direct,0.08457495640625501,0.0185392553071623,-0.01167887852793581
file_brain_AXT2_201_2010625,direct_lambda_risk,"Direct
risk-target",direct,0.09370007618852627,0.01908049130200759,0.0019701036981607523
